"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
336871;2021-01-27;"quarta";"07:00:00";"RS";287;"417.7";"SANTIAGO";"Acumulo de água sobre o pavimento";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Curva";"Não";2;0;0;0;2;0;0;1;-29,05285028;-54,98405397;"SR-RS";"UOP02";"DEL12"
336874;2021-01-27;"quarta";"08:00:00";"RJ";101;"154";"MACAE";"Transitar no acostamento";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";3;0;1;0;2;0;1;2;-22,25599488;-41,83284009;"SR-RJ";"UOP04";"DEL08"
336875;2021-01-19;"terça";"17:30:00";"MS";163;"466.3";"CAMPO GRANDE";"Chuva";"Saída de leito carroçável";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Chuva";"Dupla";"Rotatória";"Sim";1;0;1;0;0;0;1;1;-20,5823672;-54,58316987;"SR-MS";"UOP01";"DEL01"
336876;2021-01-27;"quarta";"07:55:00";"MG";116;"748.1";"LEOPOLDINA";"Ultrapassagem Indevida";"Colisão lateral mesmo sentido";"Sem Vítimas";"Pleno dia";"Decrescente";"Sol";"Simples";"Ponte";"Não";3;0;0;0;2;1;0;2;-21,43637785;-42,53060917;"SR-MG";"UOP01";"DEL07"
336877;2021-01-27;"quarta";"11:35:00";"RS";116;"503.8";"PELOTAS";"Chuva";"Colisão traseira";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Não";2;1;0;0;1;0;0;2;-31,57478208;-52,26587692;"SR-RS";"UOP01";"DEL07"
336878;2021-01-27;"quarta";"08:10:00";"BA";116;"219";"EUCLIDES DA CUNHA";"Acumulo de areia ou detritos sobre o pavimento";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;0;1;1;0;1;1;-10,570782;-38,98928893;"SR-BA";"UOP02";"DEL07"
336879;2021-01-27;"quarta";"11:40:00";"GO";153;"492.5";"GOIANIA";"Manobra de mudança de faixa";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;-16,6461;-49,2114;"SR-GO";"UOP01";"DEL01"
336880;2021-01-27;"quarta";"11:20:00";"BA";116;"579";"BREJOES";"Pista em desnível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-13,08036903;-39,96198779;"SR-BA";"UOP02";"DEL03"
336881;2021-01-27;"quarta";"06:30:00";"MG";365;"152";"PIRAPORA";"Animais na Pista";"Atropelamento de Animal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;1;0;0;1;1;-17,29807999;-44,89095301;"SR-MG";"UOP01";"DEL12"
336882;2021-01-27;"quarta";"11:20:00";"GO";40;"66.3";"CRISTALINA";"Avarias e/ou desgaste excessivo no pneu";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Não Informado";"Não";4;0;3;0;1;0;3;1;-16,57274;-47,788483;"SR-DF";"UOP04";"DEL01"
336883;2021-01-27;"quarta";"12:20:00";"SP";116;"546";"BARRA DO TURVO";"Reação tardia ou ineficiente do condutor";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;2;-24,9470862;-48,43042095;"SR-SP";"UOP02";"DEL05"
336884;2021-01-27;"quarta";"10:30:00";"BA";110;"124";"ANTAS";"Chuva";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Garoa/Chuvisco";"Simples";"Reta";"Não";8;0;0;0;8;0;0;2;-10,48937097;-38,38406144;"SR-BA";"UOP02";"DEL07"
336885;2021-01-24;"domingo";"19:05:00";"MT";70;"131.9";"GENERAL CARNEIRO";"Acostamento em desnível";"Tombamento";"Sem Vítimas";"Anoitecer";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;-15,59942051;-53,20801222;"SR-MT";"UOP01";"DEL07"
336886;2021-01-27;"quarta";"11:20:00";"PB";101;"63.2";"SANTA RITA";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Curva";"Não";4;0;1;0;3;0;1;2;-7,02710902;-35,05990203;"SR-PB";"UOP04";"DEL01"
336887;2021-01-27;"quarta";"12:40:00";"PR";277;"78";"SAO JOSE DOS PINHAIS";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;-25,51327981;-49,12433291;"SR-PR";"UOP01";"DEL01"
336888;2021-01-27;"quarta";"13:00:00";"PE";101;"50";"ABREU E LIMA";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Sem Vítimas";"Pleno dia";"Crescente";"Nublado";"Múltipla";"Reta";"Sim";2;0;0;0;2;0;0;2;-7,90938602;-34,90123228;"SR-PE";"UOP02";"DEL01"
336889;2021-01-27;"quarta";"10:45:00";"RO";364;"239.4";"CACOAL";"Velocidade Incompatível";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Sim";3;0;1;1;1;0;2;2;-11,43425083;-61,46267289;"SR-RO";"UOP02";"DEL02"
336890;2021-01-27;"quarta";"12:30:00";"SC";470;"111";"IBIRAMA";"Velocidade Incompatível";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";1;0;0;0;1;0;0;1;-27,095388;-49,457878;"SR-SC";"UOP02";"DEL04"
336891;2021-01-27;"quarta";"11:55:00";"SP";116;"145.7";"SAO JOSE DOS CAMPOS";"Demais falhas mecânicas ou elétricas";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Não Informado";"Não";4;0;1;0;3;0;1;3;-23,1869844;-45,8548078;"SR-SP";"UOP01";"DEL02"
336892;2021-01-17;"domingo";"17:00:00";"PA";230;"570";"ANAPU";"Velocidade Incompatível";"Colisão lateral sentido oposto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";3;0;0;2;1;0;2;2;-3,11843049;-51,69463008;"SR-PA";"UOP01";"DEL04"
336895;2021-01-27;"quarta";"09:20:00";"MT";163;"744.3";"SORRISO";"Acesso irregular";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;0;2;0;0;2;-12,71577635;-55,82368745;"SR-MT";"UOP01";"DEL06"
336897;2021-01-27;"quarta";"13:50:00";"SP";116;"222";"GUARULHOS";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Não";2;0;1;0;1;0;1;2;-23,474947;-46,52357;"SR-SP";"UOP01";"DEL01"
336899;2021-01-16;"sábado";"20:10:00";"TO";153;"334.6";"GUARAI";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Garoa/Chuvisco";"Dupla";"Não Informado";"Sim";3;0;1;0;1;1;1;2;-8,835718;-48,512123;"SR-TO";"UOP02";"DEL02"
336900;2021-01-27;"quarta";"13:15:00";"MG";50;"59.8";"UBERLANDIA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Não Informado";"Não";3;0;2;0;1;0;2;2;-18,80882353;-48,24418288;"SR-MG";"UOP02";"DEL15"
336901;2021-01-27;"quarta";"14:30:00";"ES";101;"144.7";"LINHARES";"Manobra de mudança de faixa";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;1;0;1;0;1;2;-19,35188295;-40,0636685;"SR-ES";"UOP01";"DEL04"
336903;2021-01-27;"quarta";"14:00:00";"PB";230;"156.2";"CAMPINA GRANDE";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Reta";"Sim";3;0;1;1;1;0;2;2;-7,2693;-35,9138;"SR-PB";"UOP01";"DEL02"
336904;2021-01-27;"quarta";"13:50:00";"MS";163;"258.2";"DOURADOS";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Rotatória";"Sim";2;0;1;0;0;1;1;2;-22,25834614;-54,78156524;"SR-MS";"UOP01";"DEL04"
336905;2021-01-27;"quarta";"14:10:00";"RS";116;"315";"BARRA DO RIBEIRO";"Ingestão de álcool pelo condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Reta";"Não";3;0;2;0;1;0;2;3;-30,24564098;-51,40594986;"SR-RS";"UOP01";"DEL02"
336906;2021-01-27;"quarta";"06:30:00";"PR";153;"307";"IMBITUVA";"Avarias e/ou desgaste excessivo no pneu";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;-25,25961868;-50,64038734;"SR-PR";"UOP03";"DEL03"
336907;2021-01-27;"quarta";"12:00:00";"MG";354;"763";"ITAMONTE";"Demais falhas mecânicas ou elétricas";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";2;0;0;0;2;0;0;1;-22,34102977;-44,81656705;"SR-MG";"UOP01";"DEL17"
336909;2021-01-27;"quarta";"11:00:00";"RJ";101;"321";"NITEROI";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Múltipla";"Reta";"Não";4;0;1;0;3;0;1;4;-22,86981096;-43,11046465;"SR-RJ";"UOP02";"DEL02"
336910;2021-01-27;"quarta";"13:10:00";"PE";408;"105";"JABOATAO DOS GUARARAPES";"Condutor deixou de manter distância do veículo da frente";"Colisão lateral";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Nublado";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;-8,0730937;-34,99190714;"SR-PE";"UOP01";"DEL01"
336911;2021-01-27;"quarta";"14:43:00";"SE";235;"0.4";"ARACAJU";"Reação tardia ou ineficiente do condutor";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;1;1;0;0;2;1;-10,9087;-37,0855;"SR-SE";"UOP01";"DEL01"
336912;2021-01-27;"quarta";"12:00:00";"SC";282;"390.5";"JOACABA";"Frear bruscamente";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Reta";"Sim";1;0;1;0;0;0;1;1;-27,17732813;-51,54568434;"SR-SC";"UOP05";"DEL07"
336913;2021-01-27;"quarta";"14:50:00";"MG";365;"60.9";"JEQUITAI";"Objeto estático sobre o leito carroçável";"Colisão com objeto";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;-17,00982598;-44,29400505;"SR-MG";"UOP01";"DEL12"
336914;2021-01-27;"quarta";"13:30:00";"MS";163;"520.7";"JARAGUARI";"Demais falhas mecânicas ou elétricas";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Não";2;0;2;0;0;0;2;1;-20,16179487;-54,44469725;"SR-MS";"UOP02";"DEL01"
